model,variant,category,relative_change
banana_leaf_cnn,banana_leaf_cnn_dropout_0.3,dropout,20.000000000000014
banana_leaf_cnn,banana_leaf_cnn_dropout_0.7,dropout,8.333333333333345
banana_leaf_cnn,banana_leaf_cnn_leaky_relu,activation,9.999999999999998
banana_leaf_cnn,banana_leaf_cnn_instance_norm,normalization,-6.666666666666653
banana_leaf_cnn,banana_leaf_cnn_group_norm,normalization,-14.999999999999996
banana_leaf_cnn,banana_leaf_cnn_no_dropout,dropout,14.999999999999996
resnet50,resnet50_dropout_0.3,dropout,12.12121212121213
resnet50,resnet50_dropout_0.7,dropout,6.060606060606065
resnet50,resnet50_leaky_relu,activation,0.0
resnet50,resnet50_instance_norm,normalization,-30.303030303030297
resnet50,resnet50_group_norm,normalization,-31.818181818181813
resnet50,resnet50_no_dropout,dropout,7.575757575757586
mobilenet_v3_large,mobilenet_v3_large_dropout_0.3,dropout,12.3076923076923
mobilenet_v3_large,mobilenet_v3_large_dropout_0.7,dropout,1.5384615384615268
mobilenet_v3_large,mobilenet_v3_large_leaky_relu,activation,3.0769230769230704
mobilenet_v3_large,mobilenet_v3_large_instance_norm,normalization,-55.38461538461539
mobilenet_v3_large,mobilenet_v3_large_group_norm,normalization,-75.38461538461539
mobilenet_v3_large,mobilenet_v3_large_no_dropout,dropout,-1.5384615384615437
efficientnet_b3,efficientnet_b3_dropout_0.3,dropout,-1.3333333333333377
efficientnet_b3,efficientnet_b3_dropout_0.7,dropout,-5.333333333333337
efficientnet_b3,efficientnet_b3_leaky_relu,activation,-26.666666666666668
efficientnet_b3,efficientnet_b3_instance_norm,normalization,-74.66666666666667
efficientnet_b3,efficientnet_b3_group_norm,normalization,-78.66666666666666
efficientnet_b3,efficientnet_b3_no_dropout,dropout,-12.00000000000001
densenet121,densenet121_dropout_0.3,dropout,2.8169014084506983
densenet121,densenet121_dropout_0.7,dropout,5.633802816901412
densenet121,densenet121_leaky_relu,activation,4.225352112676055
densenet121,densenet121_instance_norm,normalization,-77.46478873239437
densenet121,densenet121_group_norm,normalization,-60.56338028169014
densenet121,densenet121_no_dropout,dropout,-7.042253521126769
vgg16,vgg16_dropout_0.3,dropout,-3.3898305084745872
vgg16,vgg16_dropout_0.7,dropout,-10.169491525423744
vgg16,vgg16_leaky_relu,activation,-81.35593220338984
vgg16,vgg16_instance_norm,normalization,-1.6949152542372936
vgg16,vgg16_group_norm,normalization,-3.3898305084745872
vgg16,vgg16_no_dropout,dropout,5.084745762711862
