perturbation,accuracy,precision,recall,f1
No Perturbation,0.8571428571428571,0.8894841269841269,0.8571428571428571,0.8351516898100749
JPEG Compression (quality=90),0.16883116883116883,0.11147741147741147,0.16883116883116883,0.07761711972238287
JPEG Compression (quality=80),0.15584415584415584,0.09488272921108742,0.15584415584415584,0.06227106227106228
JPEG Compression (quality=70),0.15584415584415584,0.16498993963782696,0.15584415584415584,0.06213704994192799
JPEG Compression (quality=60),0.15584415584415584,0.16498993963782696,0.15584415584415584,0.06213704994192799
JPEG Compression (quality=50),0.18181818181818182,0.3088235294117647,0.18181818181818182,0.10754856957388602
JPEG Compression (quality=40),0.2077922077922078,0.3091684434968017,0.2077922077922078,0.14029304029304027
JPEG Compression (quality=30),0.22077922077922077,0.2872841444270016,0.22077922077922077,0.15664160401002505
JPEG Compression (quality=20),0.18181818181818182,0.08498168498168499,0.18181818181818182,0.10362173038229375
JPEG Compression (quality=10),0.16883116883116883,0.060714285714285714,0.16883116883116883,0.08515028543916361
